"","col_depto_salud","","",""
"","Muy bueno","bueno","malo","Total"
"","c1","c1","c1","c1"
"antioquia","27.0","45.5","27.5","100.0"
"atlántico","13.2","58.5","28.2","100.0"
"bogotá","18.2","59.4","22.4","100.0"
"bolívar","14.6","51.7","33.7","100.0"
"boyacá","12.5","48.0","39.5","100.0"
"caldas","24.7","47.0","28.2","100.0"
"caquetá","10.6","49.0","40.4","100.0"
"cauca","12.7","46.9","40.4","100.0"
"cesar","19.2","45.0","35.8","100.0"
"córdoba","8.5","54.1","37.4","100.0"
"cundinamarca","13.9","49.9","36.2","100.0"
"chocó","14.2","46.8","38.9","100.0"
"huila","11.0","50.6","38.4","100.0"
"la guajira","18.7","48.1","33.1","100.0"
"magdalena","15.3","49.7","34.9","100.0"
"meta","13.6","52.4","34.1","100.0"
"nariño","5.8","42.0","52.3","100.0"
"norte de santander","26.8","42.6","30.6","100.0"
"quindío","14.9","51.7","33.4","100.0"
"risaralda","23.0","47.7","29.4","100.0"
"santander","17.6","47.1","35.3","100.0"
"sucre","9.0","55.2","35.8","100.0"
"tolima","14.2","48.1","37.7","100.0"
"valle","18.2","54.6","27.2","100.0"
"arauca","19.7","52.3","28.0","100.0"
"casanare","16.0","49.0","35.0","100.0"
"putumayo","7.0","47.0","46.1","100.0"
"san andrés y providencia","13.8","63.2","23.0","100.0"
"amazonas","22.3","49.0","28.7","100.0"
"guainía","12.1","54.5","33.3","100.0"
"guaviare","14.4","48.5","37.1","100.0"
"vaupés","21.8","49.4","28.8","100.0"
"vichada","13.5","47.1","39.4","100.0"
"Total","17.5","51.2","31.4","100.0"
