edad_p1	edad_p2	edad_p3	edad_sex1_p3	edad_sex0_p3	edad_riq1_p3	edad_riq2_p3	edad_riq3_p3	edad_riq4_p3	edad_riq5_p3	edad_etn_p3	edad_netn_p3	edad_epsno_p3	edad_epsc_p3	edad_epss_p3	edad_epse_p3	edad_x
.1805772	.6366663	.1827565	.1488409	.2113429	.2151383	.188029	.1761616	.1525374	.113554	.1691983	.1882521	.2021029	.1569618	.1935535	.1533838	18
.1735002	.6305173	.1959825	.1602163	.225955	.2298711	.2014927	.189153	.1641371	.1228083	.1817301	.2017492	.2164197	.1687583	.2073059	.1650121	20.42105
.1664852	.6236207	.2098941	.1722609	.2412421	.2452721	.2156391	.2028391	.1764107	.1326817	.1949468	.2159309	.2314279	.1812268	.2217409	.1773129	22.84211
.159539	.6159702	.2244908	.1849863	.2571926	.2613289	.230466	.2172218	.1893684	.1431957	.2088528	.2307947	.247119	.1943763	.2368543	.1902964	25.26316
.152669	.6075637	.2397673	.1984002	.2737897	.2780231	.2459657	.2322979	.2030167	.15437	.223448	.2463329	.2634791	.2082116	.2526361	.2039686	27.68421
.1458833	.5984041	.2557126	.212506	.2910101	.2953305	.2621254	.2480588	.2173574	.1662212	.2387273	.2625323	.2804878	.2227328	.269071	.2183311	30.10526
.1391904	.5884998	.2723098	.2273023	.3088245	.3132205	.278926	.2644896	.2323874	.1787629	.2546799	.2793735	.2981185	.237935	.2861374	.2333805	32.52632
.1325993	.5778648	.2895359	.2427823	.3271973	.3316567	.2963424	.2815697	.2480979	.1920048	.2712889	.2968313	.3163381	.2538079	.3038075	.2491078	34.94737
.1261193	.5665189	.3073618	.2589338	.3460867	.3505962	.3143434	.2992718	.2644748	.2059523	.2885316	.3148738	.3351072	.2703354	.3220475	.2654984	37.36842
.1197599	.5544881	.325752	.2757382	.3654451	.3699909	.3328913	.3175622	.2814974	.220606	.3063788	.3334633	.3543801	.2874953	.340817	.2825317	39.78947
.1135308	.5418046	.3446647	.2931709	.3852193	.3897866	.3519424	.3364008	.2991389	.2359611	.3247948	.3525556	.3741049	.305259	.3600699	.3001805	42.21053
.1074418	.5285062	.3640521	.3112008	.4053509	.4099247	.3714474	.3557411	.3173661	.2520072	.3437379	.3721007	.3942244	.3235916	.3797542	.3184114	44.63158
.1015023	.5146369	.3838607	.3297904	.4257769	.430342	.391351	.3755305	.3361393	.2687274	.36316	.3920432	.4146763	.3424522	.3998128	.3371847	47.05263
.0957218	.5002462	.4040321	.3488961	.4464309	.450972	.4115934	.3957111	.3554126	.2860987	.3830074	.4123227	.4353942	.3617935	.4201837	.3564543	49.47368
.090109	.4853882	.4245028	.3684679	.4672433	.4717453	.4321104	.41622	.3751343	.3040913	.4032212	.4328747	.456308	.3815627	.4408012	.3761684	51.89474
.0846723	.4701217	.445206	.3884503	.4881427	.4925907	.4528342	.43699	.3952469	.322669	.4237377	.453631	.4773454	.4017016	.4615962	.3962698	54.31579
.0794192	.4545091	.4660716	.4087829	.5090566	.5134364	.4736945	.4579506	.4156883	.3417885	.4444894	.4745209	.4984325	.4221475	.4824974	.4166962	56.73684
.0743566	.4386158	.4870276	.4294004	.5299124	.5342106	.4946193	.4790288	.4363921	.3614006	.465406	.495472	.5194947	.4428337	.5034325	.4373814	59.15789
.0694901	.4225089	.508001	.4502343	.5506387	.5548426	.5155357	.5001502	.4572884	.3814498	.4864148	.5164114	.5404582	.4636905	.5243285	.4582557	61.57895
.0648246	.4062569	.5289185	.471213	.5711657	.575264	.5363714	.5212401	.4783049	.4018752	.507442	.5372664	.5612508	.4846458	.5451135	.4792471	64
